iter	RMSE
0	9800553.495
1	9348541.869
2	8952003.788
3	8548754.597
4	8173915.438
5	7813225.071
6	7472538.018
7	7148902.498
8	6841960.305
9	6550070.987
10	6264944.954
11	6003257.703
12	5742094.762
13	5499622.35
14	5282282.118
15	5050829.936
16	4837619.313
17	4648411.422
18	4468553.875
19	4290307.69
20	4125521.108
21	3960126.075
22	3804227.886
23	3655482.594
24	3521528.72
25	3392859.66
26	3268018.662
27	3148237.488
28	3030125.083
29	2913044.897
30	2810385.931
31	2717213.013
32	2622258.27
33	2530842.206
34	2440082.37
35	2358702.625
36	2280632.63
37	2209408.122
38	2141947.04
39	2074648.26
40	2005790.83
41	1944164.177
42	1887112.829
43	1831681.792
44	1777274.722
45	1726654.257
46	1680351.687
47	1634967.893
48	1590966.929
49	1551132.218
50	1509659.073
51	1472144.055
52	1437282.606
53	1405132.003
54	1372659.966
55	1339206.265
56	1307907.362
57	1282237.856
58	1255771.526
59	1230866.204
60	1203626.422
61	1183651.938
62	1164201.341
63	1141975.369
64	1125972.765
65	1106575.024
66	1082503.732
67	1063941.046
68	1047559.297
69	1028723.545
70	1009841.499
71	993366.5663
72	982221.2565
73	968392.8448
74	955134.951
75	941287.167
76	926707.9002
77	915521.6014
78	906772.4831
79	899764.9153
80	889541.4363
81	882061.6687
82	873396.4856
83	863744.6798
84	858493.7767
85	849982.8581
86	841982.089
87	833222.6704
88	825576.9146
89	816428.2861
90	809200.9586
91	798870.7182
92	792555.4218
93	781980.4006
94	776839.9859
95	769290.9727
96	763692.017
97	758942.7365
98	752452.6156
99	747470.7069
100	742379.3204
101	737792.5474
102	732879.0231
103	728855.2857
104	723957.2091
105	720328.8086
106	713064.8263
107	709204.2176
108	705149.9158
109	701720.9751
110	698134.8323
111	692763.5434
112	688488.4046
113	685220.5633
114	681055.7045
115	676304.4679
116	669950.4248
117	666115.6176
118	662037.3904
119	658200.6181
120	656213.113
121	653359.5613
122	649013.85
123	645692.5768
124	642732.8006
125	638611.2222
126	636132.7704
127	632493.1781
128	628849.0855
129	624779.4677
130	622023.0222
131	618993.9945
132	615022.0294
133	612040.9329
134	608699.6725
135	605477.1454
136	602733.1015
137	600610.8387
138	596908.4141
139	592749.5413
140	587809.9634
141	581463.087
142	574792.7032
143	572311.9127
144	566437.701
145	564071.6046
146	560923.8655
147	555268.7203
148	553606.8431
149	550093.2691
150	546960.582
151	545536.2903
152	541023.0353
153	536835.256
154	532935.6919
155	530766.0756
156	528004.7528
157	526823.2073
158	523361.6146
159	519353.6284
160	517027.2431
161	512839.8225
162	509556.6168
163	507718.4577
164	505132.4078
165	502337.7085
166	500297.0404
167	495657.8762
168	490864.7841
169	486769.954
170	485491.9907
171	481646.9479
172	478876.8451
173	477267.4724
174	476515.4444
175	475211.9568
176	471611.7017
177	468961.4251
178	466162.8342
179	463784.3318
180	460819.1573
181	459294.3098
182	457029.5725
183	454010.8241
184	452352.8435
185	450650.924
186	448755.7671
187	446051.1213
188	444607.3046
189	442592.6909
190	440195.0234
191	437400.3163
192	435888.9554
193	432950.1662
194	431496.3371
195	428765.0221
196	427352.5432
197	425892.3396
198	424009.2453
199	422671.4956
