iter	Passed	Remaining
0	97	19490
1	114	11345
2	130	8566
3	145	7153
4	160	6270
5	168	5450
6	174	4821
7	180	4338
8	186	3964
9	192	3663
10	198	3409
11	204	3197
12	209	3009
13	214	2853
14	219	2712
15	226	2599
16	231	2490
17	237	2399
18	243	2317
19	248	2238
20	254	2166
21	259	2102
22	265	2043
23	271	1988
24	276	1938
25	282	1890
26	287	1844
27	293	1800
28	298	1762
29	304	1726
30	310	1691
31	315	1658
32	321	1628
33	327	1598
34	333	1572
35	340	1552
36	347	1531
37	354	1511
38	361	1491
39	368	1474
40	375	1456
41	385	1449
42	392	1431
43	399	1415
44	405	1397
45	412	1381
46	420	1370
47	427	1353
48	434	1339
49	441	1324
50	447	1307
51	453	1291
52	460	1278
53	466	1262
54	474	1250
55	480	1235
56	486	1221
57	493	1209
58	500	1196
59	507	1184
60	514	1172
61	522	1162
62	528	1150
63	535	1138
64	542	1126
65	549	1115
66	556	1104
67	562	1092
68	569	1081
69	576	1069
70	582	1058
71	589	1047
72	607	1056
73	614	1046
74	620	1034
75	627	1023
76	634	1013
77	640	1002
78	647	991
79	653	980
80	660	969
81	667	961
82	674	950
83	681	941
84	687	930
85	694	920
86	700	910
87	707	900
88	714	890
89	721	881
90	727	871
91	734	862
92	741	852
93	748	844
94	755	834
95	762	825
96	768	816
97	775	807
98	781	797
99	788	788
100	794	779
101	802	770
102	809	761
103	815	752
104	822	743
105	828	734
106	835	725
107	841	717
108	848	708
109	855	699
110	861	690
111	868	682
112	874	673
113	881	664
114	888	656
115	894	647
116	901	639
117	908	631
118	915	622
119	921	614
120	929	606
121	936	598
122	943	590
123	950	582
124	957	574
125	963	566
126	970	557
127	976	549
128	983	541
129	990	533
130	996	524
131	1003	516
132	1009	508
133	1016	500
134	1023	492
135	1030	485
136	1037	477
137	1044	469
138	1051	461
139	1058	453
140	1065	445
141	1071	437
142	1078	430
143	1086	422
144	1092	414
145	1099	406
146	1105	398
147	1112	390
148	1118	382
149	1125	375
150	1132	367
151	1139	359
152	1146	352
153	1153	344
154	1160	336
155	1166	329
156	1174	321
157	1180	313
158	1188	306
159	1197	299
160	1204	291
161	1212	284
162	1219	276
163	1226	269
164	1233	261
165	1241	254
166	1247	246
167	1255	239
168	1262	231
169	1269	223
170	1275	216
171	1282	208
172	1288	201
173	1295	193
174	1301	185
175	1308	178
176	1314	170
177	1320	163
178	1327	155
179	1334	148
180	1341	140
181	1347	133
182	1354	125
183	1361	118
184	1367	110
185	1374	103
186	1381	96
187	1386	88
188	1393	81
189	1398	73
190	1404	66
191	1411	58
192	1416	51
193	1422	44
194	1429	36
195	1436	29
196	1443	21
197	1450	14
198	1458	7
199	1464	0
