Feature,RF,XGB,CAT,LGB,Mean
city_avg_price,0.029178240804779966,0.010920481,3.938636643749726,1021,256.24468384134485
price_deviation_from_city_avg,0.13703629487255967,0.023434589,21.82779267802894,987,252.24706589039678
price_ratio_to_city,0.12227413185449,0.014399622,2.944414675831818,757,190.0202721073305
price_segment_encoded,0.2368189214715567,0.93406725,59.25597356782469,526,146.60671493464858
price_per_sqm_log,0.11230471578735478,0.004823521,3.255780514358372,415,104.59322718773133
area,0.0720873373571574,0.0012881358,0.8796456478680967,311,77.98825528024852
city_median_price,0.03745011870754568,0.0020918923,2.898043988256437,254,64.2343964998151
area_squared,0.04455978523479555,0.0034813473,0.4679609826381875,58,14.629000528804916
city_listing_count,0.020075328073791063,0.004147851,1.5762359464853826,53,13.650114781366877
city_encoded,0.006629172207433893,7.896462e-05,0.32297273178066327,32,8.082420217152508
area_rooms_interaction,0.017491221897687887,0.00034740655,0.4098277651876362,27,6.856916598407628
area_building_height_interaction,0.027750997470349113,4.0754356e-05,0.0165321620954836,20,5.011080978480389
area_per_room,0.006341921998234945,1.4396177e-05,0.24226251809512325,13,3.312154709067588
area_log,0.08658785910489558,0.0006266087,0.21231086414567238,6,1.5748813329804308
area_floor_interaction,0.003046676029724595,9.190438e-06,0.007428575545380012,5,1.2526211105031748
rooms_floor_interaction,0.0007578581502077694,9.24849e-06,0.029325106431702986,4,1.0075230532679107
total_floors,0.0016682489736178712,8.847536e-06,0.0034464984627543146,4,1.0012808987431592
floor_ratio,0.0006921658265050064,8.97363e-06,0.03550987187848317,3,0.7590527528338543
area_category_encoded,0.020561141632527986,2.109306e-05,0.7095316041898653,2,0.6825284597204311
building_height_category_encoded,0.0005907353754777322,8.703548e-06,0.09551576061775932,1,0.2740287998852572
floor,0.0005055683247030494,7.63669e-06,0.018360303750241457,1,0.2547183771911332
city_size_encoded,0.007410737804419787,0.000115521725,0.7294479437609626,0,0.18424355082261873
floors_from_top,0.0006043602433819808,9.547603e-06,0.06634151139665759,0,0.016738854810869966
rooms_squared,0.0018631950624441306,3.2569103e-06,0.01537090543506627,0,0.004309339351953629
is_studio,0.0004064893271389587,6.2470053e-07,0.01543321027527032,0,0.0039600810757355895
floors_from_ground,0.0004895706088486377,8.244808e-06,0.011961568015909132,0,0.0031148458581292384
room_type_encoded,0.0011777559930017062,3.4468742e-06,0.008582801718433512,0,0.0024410011464059893
is_last_floor,0.00012263993879167858,4.234378e-06,0.005143613774452108,0,0.0013176220228456443
rooms,0.002897980893183002,7.2866205e-06,0.0002100384008428838,0,0.0007788264786389882
is_middle_floor,0.0005536488136799525,7.823816e-06,0.0,0,0.00014036815749602646
is_first_floor,6.518015971386877e-05,3.5539306e-06,0.0,0,1.718352257414506e-05
